taxonID	title	creator	date	description	identifier
6848846			1996	database, NODC Taxonomic Code	
6848846			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848846		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848846		Banks, R. C., R. W. McDiarmid, A. L. Gardner, and W. C. Starnes	2003	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	
6848846	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	Banks, R. C., R. W. McDiarmid, and A. L. Gardner	1987	Resource Publication, no. 166	
6991578			1996	database, NODC Taxonomic Code	
6991576			1996	database, NODC Taxonomic Code	
6991577			1996	database, NODC Taxonomic Code	
6868213			1998	website, Zoonomen - Zoological Nomenclature Resource	
6868213		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6868214			1998	website, Zoonomen - Zoological Nomenclature Resource	
6868214		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848853			1996	database, NODC Taxonomic Code	
6848853			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848853		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848853		Banks, R. C., R. W. McDiarmid, A. L. Gardner, and W. C. Starnes	2003	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	
6848853	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	Banks, R. C., R. W. McDiarmid, and A. L. Gardner	1987	Resource Publication, no. 166	
6848858			1996	database, NODC Taxonomic Code	
6848858			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848858		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848859			1996	database, NODC Taxonomic Code	
6848859			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848859		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848859			2005	website, AOU Check-List (07-2005)	
6848859		Banks, R. C., R. W. McDiarmid, A. L. Gardner, and W. C. Starnes	2003	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	
6848859	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	Banks, R. C., R. W. McDiarmid, and A. L. Gardner	1987	Resource Publication, no. 166	
6848860			1996	database, NODC Taxonomic Code	
6848862			1996	database, NODC Taxonomic Code	
6848862			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848862		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848863			1996	database, NODC Taxonomic Code	
6848863			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848863		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6863814			1998	website, Zoonomen - Zoological Nomenclature Resource	
6863814		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6863814			2005	website, AOU Check-List (07-2005)	
6863814		Banks, R. C., R. W. McDiarmid, A. L. Gardner, and W. C. Starnes	2003	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	
6848848			1996	database, NODC Taxonomic Code	
6848848			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848848		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
6848848		Banks, R. C., R. W. McDiarmid, A. L. Gardner, and W. C. Starnes	2003	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	
6848848	Checklist of Vertebrates of the United States, the U.S. Territories, and Canada	Banks, R. C., R. W. McDiarmid, and A. L. Gardner	1987	Resource Publication, no. 166	
6848851			1996	database, NODC Taxonomic Code	
6848851			1998	website, Zoonomen - Zoological Nomenclature Resource	
6848851		Gill, Frank, and Minturn Wright	2006	Birds of the World: Recommended English Names	
