taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description
2363573	urn:lsid:catalogueoflife.org:taxon:d75d36d8-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363436	accepted name	order		Actiniaria	Animalia	Cnidaria	Anthozoa	Actiniaria												
2363574	urn:lsid:catalogueoflife.org:taxon:d75d7616-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Thalassianthidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Thalassianthidae										
2363575	urn:lsid:catalogueoflife.org:taxon:d75d74d6-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Stichodactylidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Stichodactylidae										
2363576	urn:lsid:catalogueoflife.org:taxon:d75d738c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Sagartiomorphidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Sagartiomorphidae										
2363577	urn:lsid:catalogueoflife.org:taxon:d75d724c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Sagartiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Sagartiidae										
2363578	urn:lsid:catalogueoflife.org:taxon:d75d710c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Ptychodactiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Ptychodactiidae										
2363579	urn:lsid:catalogueoflife.org:taxon:d75d6fcc-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Preactiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Preactiidae										
2363580	urn:lsid:catalogueoflife.org:taxon:d75d6e8c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Phymanthidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Phymanthidae										
2363581	urn:lsid:catalogueoflife.org:taxon:d75d6d4c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Octineonidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Octineonidae										
2363582	urn:lsid:catalogueoflife.org:taxon:d75d6c02-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Nevadneidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Nevadneidae										
2363583	urn:lsid:catalogueoflife.org:taxon:d75d6ac2-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Nemanthidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Nemanthidae										
2363584	urn:lsid:catalogueoflife.org:taxon:d75d6978-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Minyadidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Minyadidae										
2363585	urn:lsid:catalogueoflife.org:taxon:d75d6662-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Metridiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Metridiidae										
2363586	urn:lsid:catalogueoflife.org:taxon:d75d62de-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Liponematidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Liponematidae										
2363587	urn:lsid:catalogueoflife.org:taxon:d75d6194-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Limnactiniidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Limnactiniidae										
2363588	urn:lsid:catalogueoflife.org:taxon:d75d604a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Isophelliidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Isophelliidae										
2363589	urn:lsid:catalogueoflife.org:taxon:d75d5e6a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Isanthidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Isanthidae										
2363590	urn:lsid:catalogueoflife.org:taxon:d75d5d20-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Iosactiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Iosactiidae										
2363591	urn:lsid:catalogueoflife.org:taxon:d75d5be0-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Hormathiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Hormathiidae										
2363592	urn:lsid:catalogueoflife.org:taxon:d75d5a96-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Haloclavidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Haloclavidae										
2363593	urn:lsid:catalogueoflife.org:taxon:d75d5956-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Haliplanellidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Haliplanellidae										
2363594	urn:lsid:catalogueoflife.org:taxon:d75d57e4-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Haliactiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Haliactiidae										
2363595	urn:lsid:catalogueoflife.org:taxon:d75d56a4-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Halcuriidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Halcuriidae										
2363596	urn:lsid:catalogueoflife.org:taxon:d75d5564-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Halcampoididae	Animalia	Cnidaria	Anthozoa	Actiniaria		Halcampoididae										
2363597	urn:lsid:catalogueoflife.org:taxon:d75d541a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Halcampidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Halcampidae										
2363598	urn:lsid:catalogueoflife.org:taxon:d75d52da-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Gonactiniidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Gonactiniidae										
2363599	urn:lsid:catalogueoflife.org:taxon:d75d519a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Galatheanthemidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Galatheanthemidae										
2363600	urn:lsid:catalogueoflife.org:taxon:d75d5050-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Exocoelactiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Exocoelactiidae										
2363601	urn:lsid:catalogueoflife.org:taxon:d75d4f10-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Edwardsiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Edwardsiidae										
2363602	urn:lsid:catalogueoflife.org:taxon:d75d4dd0-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Diadumenidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Diadumenidae										
2363603	urn:lsid:catalogueoflife.org:taxon:d75d4c90-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Condylanthidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Condylanthidae										
2363604	urn:lsid:catalogueoflife.org:taxon:d75d4b50-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Boloceroididae	Animalia	Cnidaria	Anthozoa	Actiniaria		Boloceroididae										
2363605	urn:lsid:catalogueoflife.org:taxon:d75d4a10-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Bathyphellidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Bathyphellidae										
2363606	urn:lsid:catalogueoflife.org:taxon:d75d45f6-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Aurelianidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Aurelianidae										
2363607	urn:lsid:catalogueoflife.org:taxon:d75d44ac-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Andwakiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Andwakiidae										
2363608	urn:lsid:catalogueoflife.org:taxon:d75d4362-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Andresiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Andresiidae										
2363609	urn:lsid:catalogueoflife.org:taxon:d75d4222-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Aliciidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Aliciidae										
2363610	urn:lsid:catalogueoflife.org:taxon:d75d40e2-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Aiptasiomorphidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Aiptasiomorphidae										
2363611	urn:lsid:catalogueoflife.org:taxon:d75d3fa2-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Aiptasiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Aiptasiidae										
2363612	urn:lsid:catalogueoflife.org:taxon:d75d3e62-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Actinostolidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Actinostolidae										
2363613	urn:lsid:catalogueoflife.org:taxon:d75d3d22-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Actinoscyphiidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Actinoscyphiidae										
2363614	urn:lsid:catalogueoflife.org:taxon:d75d3bd8-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Actinodendronidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Actinodendronidae										
2363615	urn:lsid:catalogueoflife.org:taxon:d75d3a98-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Actiniidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae										
2363616	urn:lsid:catalogueoflife.org:taxon:d75d3958-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Actinernidae	Animalia	Cnidaria	Anthozoa	Actiniaria		Actinernidae										
2363617	urn:lsid:catalogueoflife.org:taxon:d75d3818-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363573	accepted name	family		Acontiophoridae	Animalia	Cnidaria	Anthozoa	Actiniaria		Acontiophoridae										
2428344	urn:lsid:catalogueoflife.org:taxon:d7fc8328-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363601	accepted name	genus		Edwardsia	Animalia	Cnidaria	Anthozoa	Actiniaria		Edwardsiidae	Edwardsia									
2428345	urn:lsid:catalogueoflife.org:taxon:d7fc6924-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Anthopleura	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Anthopleura									
2428346	urn:lsid:catalogueoflife.org:taxon:d7fc658c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Actinia	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Actinia									
2428347	urn:lsid:catalogueoflife.org:taxon:d7fc60fa-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Anemonia	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Anemonia									
2428349	urn:lsid:catalogueoflife.org:taxon:d7fc28ec-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363577	accepted name	genus		Sagartia	Animalia	Cnidaria	Anthozoa	Actiniaria		Sagartiidae	Sagartia									
2428350	urn:lsid:catalogueoflife.org:taxon:d7fbbd3a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363591	accepted name	genus		Actinauge	Animalia	Cnidaria	Anthozoa	Actiniaria		Hormathiidae	Actinauge									
2428351	urn:lsid:catalogueoflife.org:taxon:d7fc1a6e-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Tealia	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Tealia									
2428354	urn:lsid:catalogueoflife.org:taxon:d7fbc956-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363611	accepted name	genus		Aiptasia	Animalia	Cnidaria	Anthozoa	Actiniaria		Aiptasiidae	Aiptasia									
2435482	urn:lsid:catalogueoflife.org:taxon:d888748c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363575	accepted name	genus		Heteractis	Animalia	Cnidaria	Anthozoa	Actiniaria		Stichodactylidae	Heteractis									
2435483	urn:lsid:catalogueoflife.org:taxon:d88875b8-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Glyphoperidium	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Glyphoperidium									
2435484	urn:lsid:catalogueoflife.org:taxon:d88876e4-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Epiactis	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Epiactis									
2435485	urn:lsid:catalogueoflife.org:taxon:d8887806-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363611	accepted name	genus		Aiptasiogeton	Animalia	Cnidaria	Anthozoa	Actiniaria		Aiptasiidae	Aiptasiogeton									
2435486	urn:lsid:catalogueoflife.org:taxon:d8887932-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Phyllactis	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Phyllactis									
2435487	urn:lsid:catalogueoflife.org:taxon:d8887a5e-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Macrodactyla	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Macrodactyla									
2435488	urn:lsid:catalogueoflife.org:taxon:d8887b80-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363597	accepted name	genus		Halcampa	Animalia	Cnidaria	Anthozoa	Actiniaria		Halcampidae	Halcampa									
2435489	urn:lsid:catalogueoflife.org:taxon:d8887d06-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Isotealia	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Isotealia									
2435490	urn:lsid:catalogueoflife.org:taxon:d8887e3c-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Pseudactinia	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Pseudactinia									
2435491	urn:lsid:catalogueoflife.org:taxon:d8887f68-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Cnidopus	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Cnidopus									
2435492	urn:lsid:catalogueoflife.org:taxon:d8888094-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363575	accepted name	genus		Stichodactyla	Animalia	Cnidaria	Anthozoa	Actiniaria		Stichodactylidae	Stichodactyla									
2435493	urn:lsid:catalogueoflife.org:taxon:d88881b6-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Antheopsis	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Antheopsis									
2435494	urn:lsid:catalogueoflife.org:taxon:d88882e2-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363604	accepted name	genus		Bunodeopsis	Animalia	Cnidaria	Anthozoa	Actiniaria		Boloceroididae	Bunodeopsis									
2435495	urn:lsid:catalogueoflife.org:taxon:d888840e-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363612	accepted name	genus		Sicyonis	Animalia	Cnidaria	Anthozoa	Actiniaria		Actinostolidae	Sicyonis									
2435496	urn:lsid:catalogueoflife.org:taxon:d888853a-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363606	accepted name	genus		Actinoporus	Animalia	Cnidaria	Anthozoa	Actiniaria		Aurelianidae	Actinoporus									
2435497	urn:lsid:catalogueoflife.org:taxon:d88886a2-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363606	accepted name	genus		Aureliana	Animalia	Cnidaria	Anthozoa	Actiniaria		Aurelianidae	Aureliana									
2435498	urn:lsid:catalogueoflife.org:taxon:d88887ce-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363574	accepted name	genus		Heterodactyla	Animalia	Cnidaria	Anthozoa	Actiniaria		Thalassianthidae	Heterodactyla									
2435499	urn:lsid:catalogueoflife.org:taxon:d88888fa-29c1-102b-9a4a-00304854f820:col20110201	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist		2363615	accepted name	genus		Isocradactis	Animalia	Cnidaria	Anthozoa	Actiniaria		Actiniidae	Isocradactis									
