taxonID	vernacularName	language	countryCode	locality	source
6848846	Herring Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848846	Herring Gull	English			2005. website, AOU Check-List (07-2005).
6848846	Herring Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848846	Herring Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848846	goéland argenté	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848846	goéland argenté	French			2005. website, AOU Check-List (07-2005).
6848846	goéland argenté	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848846	goéland argenté	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848846	Gaviota plateada	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848846	Gaviota plateada	Spanish			2005. website, AOU Check-List (07-2005).
6848846	Gaviota plateada	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848846	Gaviota plateada	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6868213	Armenian Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6868214	Olrog's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848853	mouette atricille	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848853	mouette atricille	French			2005. website, AOU Check-List (07-2005).
6848853	mouette atricille	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848853	mouette atricille	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848853	Laughing Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848853	Laughing Gull	English			2005. website, AOU Check-List (07-2005).
6848853	Laughing Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848853	Laughing Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
